18:24:19.034 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 83 to Vm 3 in Host 3/DC 1 with a requested delay of 7 seconds.
18:24:19.034 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 84 to Vm 4 in Host 0/DC 1 with a requested delay of 99 seconds.
18:24:19.034 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 85 to Vm 5 in Host 1/DC 1 with a requested delay of 26 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 86 to Vm 6 in Host 2/DC 1 with a requested delay of 5 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 87 to Vm 7 in Host 3/DC 1 with a requested delay of 22 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 88 to Vm 0 in Host 0/DC 1 with a requested delay of 94 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 89 to Vm 1 in Host 1/DC 1 with a requested delay of 83 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 90 to Vm 2 in Host 2/DC 1 with a requested delay of 3 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 91 to Vm 3 in Host 3/DC 1 with a requested delay of 72 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 92 to Vm 4 in Host 0/DC 1 with a requested delay of 90 seconds.
18:24:19.035 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 93 to Vm 5 in Host 1/DC 1 with a requested delay of 96 seconds.
18:24:19.036 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 94 to Vm 6 in Host 2/DC 1 with a requested delay of 53 seconds.
18:24:19.036 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 95 to Vm 7 in Host 3/DC 1 with a requested delay of 69 seconds.
18:24:19.036 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 96 to Vm 0 in Host 0/DC 1 with a requested delay of 55 seconds.
18:24:19.036 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 97 to Vm 1 in Host 1/DC 1 with a requested delay of 88 seconds.
18:24:19.036 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 98 to Vm 2 in Host 2/DC 1 with a requested delay of 16 seconds.
18:24:19.036 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 99 to Vm 3 in Host 3/DC 1 with a requested delay of 3 seconds.
18:24:19.036 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: All 100 waiting Cloudlets submitted to some VM.
18:24:19.047 [sbt-bg-threads-1] INFO  DatacenterBroker - 18.88: DatacenterBrokerSimple2: Cloudlet 28 finished in Vm 4 and returned to broker.
18:24:19.049 [sbt-bg-threads-1] INFO  DatacenterBroker - 19.88: DatacenterBrokerSimple2: Cloudlet 90 finished in Vm 2 and returned to broker.
18:24:19.049 [sbt-bg-threads-1] INFO  DatacenterBroker - 19.88: DatacenterBrokerSimple2: Cloudlet 99 finished in Vm 3 and returned to broker.
18:24:19.050 [sbt-bg-threads-1] INFO  DatacenterBroker - 20.88: DatacenterBrokerSimple2: Cloudlet 2 finished in Vm 2 and returned to broker.
18:24:19.051 [sbt-bg-threads-1] INFO  DatacenterBroker - 21.88: DatacenterBrokerSimple2: Cloudlet 33 finished in Vm 1 and returned to broker.
18:24:19.051 [sbt-bg-threads-1] INFO  DatacenterBroker - 21.88: DatacenterBrokerSimple2: Cloudlet 86 finished in Vm 6 and returned to broker.
18:24:19.053 [sbt-bg-threads-1] INFO  DatacenterBroker - 22.88: DatacenterBrokerSimple2: Cloudlet 64 finished in Vm 0 and returned to broker.
18:24:19.053 [sbt-bg-threads-1] INFO  DatacenterBroker - 22.88: DatacenterBrokerSimple2: Cloudlet 30 finished in Vm 6 and returned to broker.
18:24:19.054 [sbt-bg-threads-1] INFO  DatacenterBroker - 23.88: DatacenterBrokerSimple2: Cloudlet 9 finished in Vm 1 and returned to broker.
18:24:19.054 [sbt-bg-threads-1] INFO  DatacenterBroker - 23.88: DatacenterBrokerSimple2: Cloudlet 83 finished in Vm 3 and returned to broker.
18:24:19.056 [sbt-bg-threads-1] INFO  DatacenterBroker - 29.88: DatacenterBrokerSimple2: Cloudlet 56 finished in Vm 0 and returned to broker.
18:24:19.058 [sbt-bg-threads-1] INFO  DatacenterBroker - 31.88: DatacenterBrokerSimple2: Cloudlet 1 finished in Vm 1 and returned to broker.
18:24:19.058 [sbt-bg-threads-1] INFO  DatacenterBroker - 31.88: DatacenterBrokerSimple2: Cloudlet 21 finished in Vm 5 and returned to broker.
18:24:19.059 [sbt-bg-threads-1] INFO  DatacenterBroker - 32.88: DatacenterBrokerSimple2: Cloudlet 16 finished in Vm 0 and returned to broker.
18:24:19.059 [sbt-bg-threads-1] INFO  DatacenterBroker - 32.88: DatacenterBrokerSimple2: Cloudlet 57 finished in Vm 1 and returned to broker.
18:24:19.059 [sbt-bg-threads-1] INFO  DatacenterBroker - 32.88: DatacenterBrokerSimple2: Cloudlet 98 finished in Vm 2 and returned to broker.
18:24:19.060 [sbt-bg-threads-1] INFO  DatacenterBroker - 38.88: DatacenterBrokerSimple2: Cloudlet 24 finished in Vm 0 and returned to broker.
18:24:19.061 [sbt-bg-threads-1] INFO  DatacenterBroker - 38.88: DatacenterBrokerSimple2: Cloudlet 87 finished in Vm 7 and returned to broker.
18:24:19.062 [sbt-bg-threads-1] INFO  DatacenterBroker - 40.88: DatacenterBrokerSimple2: Cloudlet 31 finished in Vm 7 and returned to broker.
18:24:19.063 [sbt-bg-threads-1] INFO  DatacenterBroker - 42.88: DatacenterBrokerSimple2: Cloudlet 40 finished in Vm 0 and returned to broker.
18:24:19.063 [sbt-bg-threads-1] INFO  DatacenterBroker - 42.88: DatacenterBrokerSimple2: Cloudlet 85 finished in Vm 5 and returned to broker.
18:24:19.063 [sbt-bg-threads-1] INFO  DatacenterBroker - 42.88: DatacenterBrokerSimple2: Cloudlet 10 finished in Vm 2 and returned to broker.
18:24:19.063 [sbt-bg-threads-1] INFO  DatacenterBroker - 42.88: DatacenterBrokerSimple2: Cloudlet 67 finished in Vm 3 and returned to broker.
18:24:19.064 [sbt-bg-threads-1] INFO  DatacenterBroker - 43.88: DatacenterBrokerSimple2: Cloudlet 66 finished in Vm 2 and returned to broker.
18:24:19.064 [sbt-bg-threads-1] INFO  DatacenterBroker - 44.88: DatacenterBrokerSimple2: Cloudlet 17 finished in Vm 1 and returned to broker.
18:24:19.065 [sbt-bg-threads-1] INFO  DatacenterBroker - 46.76: DatacenterBrokerSimple2: Cloudlet 0 finished in Vm 0 and returned to broker.
18:24:19.066 [sbt-bg-threads-1] INFO  DatacenterBroker - 49.76: DatacenterBrokerSimple2: Cloudlet 8 finished in Vm 0 and returned to broker.
18:24:19.067 [sbt-bg-threads-1] INFO  DatacenterBroker - 50.88: DatacenterBrokerSimple2: Cloudlet 54 finished in Vm 6 and returned to broker.
18:24:19.067 [sbt-bg-threads-1] INFO  DatacenterBroker - 50.88: DatacenterBrokerSimple2: Cloudlet 27 finished in Vm 3 and returned to broker.
18:24:19.068 [sbt-bg-threads-1] INFO  DatacenterBroker - 51.88: DatacenterBrokerSimple2: Cloudlet 3 finished in Vm 3 and returned to broker.
18:24:19.068 [sbt-bg-threads-1] INFO  DatacenterBroker - 52.88: DatacenterBrokerSimple2: Cloudlet 65 finished in Vm 1 and returned to broker.
18:24:19.068 [sbt-bg-threads-1] INFO  DatacenterBroker - 52.88: DatacenterBrokerSimple2: Cloudlet 43 finished in Vm 3 and returned to broker.
18:24:19.068 [sbt-bg-threads-1] INFO  DatacenterBroker - 52.88: DatacenterBrokerSimple2: Cloudlet 47 finished in Vm 7 and returned to broker.
