16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 45 to Vm 13 in Host 0/DC 8.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 46 to Vm 14 in Host 0/DC 8.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 47 to Vm 15 in Host 0/DC 8.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 48 to Vm 0 in Host 0/DC 2.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 49 to Vm 1 in Host 0/DC 2.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 50 to Vm 2 in Host 0/DC 2.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 51 to Vm 3 in Host 0/DC 2.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 52 to Vm 4 in Host 0/DC 4.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 53 to Vm 5 in Host 0/DC 4.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 54 to Vm 6 in Host 0/DC 4.
16:17:42.991 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 55 to Vm 7 in Host 0/DC 4.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 56 to Vm 8 in Host 0/DC 6.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 57 to Vm 9 in Host 0/DC 6.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 58 to Vm 10 in Host 0/DC 6.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 59 to Vm 11 in Host 0/DC 6.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 60 to Vm 12 in Host 0/DC 8.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 61 to Vm 13 in Host 0/DC 8.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 62 to Vm 14 in Host 0/DC 8.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 63 to Vm 15 in Host 0/DC 8.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 64 to Vm 0 in Host 0/DC 2.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 65 to Vm 1 in Host 0/DC 2.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 66 to Vm 2 in Host 0/DC 2.
16:17:42.992 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 67 to Vm 3 in Host 0/DC 2.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 68 to Vm 4 in Host 0/DC 4.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 69 to Vm 5 in Host 0/DC 4.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 70 to Vm 6 in Host 0/DC 4.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 71 to Vm 7 in Host 0/DC 4.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 72 to Vm 8 in Host 0/DC 6.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 73 to Vm 9 in Host 0/DC 6.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 74 to Vm 10 in Host 0/DC 6.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 75 to Vm 11 in Host 0/DC 6.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 76 to Vm 12 in Host 0/DC 8.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 77 to Vm 13 in Host 0/DC 8.
16:17:42.993 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 78 to Vm 14 in Host 0/DC 8.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 79 to Vm 15 in Host 0/DC 8.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 80 to Vm 0 in Host 0/DC 2.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 81 to Vm 1 in Host 0/DC 2.
